const_no,const_name,winner_name,winner_party,runner_name,runner_party,margin,status
158,KOLKATA PORT,FIRHAD HAKIM,All India Trinamool Congress,RAKESH SINGH,Bharatiya Janata Party,56080.0,Result Declared
88,KRISHNAGANJ,SUKANTA BISWAS,Bharatiya Janata Party,SAMIR KUMAR PODDAR,All India Trinamool Congress,60899.0,Result Declared
85,KRISHNANAGAR DAKSHIN,SADHAN GHOSH,Bharatiya Janata Party,UJJAL BISWAS,All India Trinamool Congress,27801.0,Result Declared
83,KRISHNANAGAR UTTAR,TARAK NATH CHATTERJEE,Bharatiya Janata Party,SOMNATH DUTTA,All India Trinamool Congress,78361.0,Result Declared
133,KULPI,BARNALI DHARA,All India Trinamool Congress,ABANI NASKAR,Bharatiya Janata Party,10383.0,Result Declared
129,KULTALI,GANESH CHANDRA MONDAL,All India Trinamool Congress,MADHABI MAHALDER,Bharatiya Janata Party,59276.0,Result Declared
282,KULTI,AJAY KUMAR PODDAR,Bharatiya Janata Party,ABHIJIT GHATAK,All India Trinamool Congress,26498.0,Result Declared
38,KUMARGANJ,TORAF HOSSAIN MANDAL,All India Trinamool Congress,SUBHENDU SARKAR,Bharatiya Janata Party,6685.0,Result Declared
10,KUMARGRAM,MANOJ KUMAR ORAON,Bharatiya Janata Party,RAJEEV TIRKEY,All India Trinamool Congress,52877.0,Result Declared
24,KURSEONG,SONAM LAMA,Bharatiya Janata Party,AMAR LAMA,Bharatiya Gorkha Prajatantrik Morcha,17007.0,Result Declared
