const_no,const_name,winner_name,winner_party,runner_name,runner_party,margin,status,const_name_cw,bjp_votes,tmc_votes,total_votes,winner_is_bjp,winner_is_tmc
262,JAMALPUR,ARUN HALDER,Bharatiya Janata Party,BHUTNATH MALIK,All India Trinamool Congress,11178.0,Result Declared,JAMALPUR,99936,88758,214774,True,False
279,JAMURIA,DR. BIJAN MUKHERJEE,Bharatiya Janata Party,HARERAM SINGH,All India Trinamool Congress,22514.0,Result Declared,JAMURIA,90150,67636,181594,True,False
195,JANGIPARA,PROSENJIT BAG,Bharatiya Janata Party,SNEHASIS CHAKRABORTY,All India Trinamool Congress,862.0,Result Declared,JANGIPARA,102409,101547,232291,True,False
58,JANGIPUR,CHITTA MUKHERJEE,Bharatiya Janata Party,JAKIR HOSSAIN,All India Trinamool Congress,10542.0,Result Declared,JANGIPUR,91201,80659,212606,True,False
136,JAYNAGAR,BISWANATH DAS,All India Trinamool Congress,ALOKE HALDER,Bharatiya Janata Party,26350.0,Result Declared,JAYNAGAR,81844,108194,219107,False,True
222,JHARGRAM,LAKSHMI KANTA SAU,Bharatiya Janata Party,MONGAL SAREN,All India Trinamool Congress,38147.0,Result Declared,JHARGRAM,120877,82730,220940,True,False
165,JORASANKO,VIJAY OJHA,Bharatiya Janata Party,VIJAY UPADHYAY,All India Trinamool Congress,5797.0,Result Declared,JORASANKO,52868,47071,106847,True,False
241,JOYPUR,BISWAJIT MAHATO,Bharatiya Janata Party,ARJUN MAHATO,All India Trinamool Congress,22218.0,Result Declared,JOYPUR,104668,82450,233203,True,False
131,KAKDWIP,DIPANKAR JANA,Bharatiya Janata Party,MANTURAM PAKHIRA,All India Trinamool Congress,4760.0,Result Declared,KAKDWIP,109373,104613,231303,True,False
11,KALCHINI,BISHAL LAMA,Bharatiya Janata Party,BIRENDRA BARA (ORAON),All India Trinamool Congress,37843.0,Result Declared,KALCHINI,114759,76916,202607,True,False
34,KALIAGANJ,UTPAL BRAHMACHARO,Bharatiya Janata Party,NITAI BAISHYA,All India Trinamool Congress,76425.0,Result Declared,KALIAGANJ,158349,81924,258225,True,False
80,KALIGANJ,ALIFA AHMED,All India Trinamool Congress,BAPAN GHOSH,Bharatiya Janata Party,10172.0,Result Declared,KALIGANJ,79120,89292,219023,False,True
22,KALIMPONG,BHARAT KUMAR CHETRI,Bharatiya Janata Party,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,21464.0,Result Declared,KALIMPONG,84290,0,169477,True,False
264,KALNA,SIDDHARTHA MAJUMDAR,Bharatiya Janata Party,DEBO PRASAD BAG (POLTU),All India Trinamool Congress,28630.0,Result Declared,KALNA,110790,82160,213233,True,False
92,KALYANI,ANUPAM BISWAS,Bharatiya Janata Party,DR. ATINDRA NATH MONDAL,All India Trinamool Congress,34792.0,Result Declared,KALYANI,114469,79677,215506,True,False
112,KAMARHATI,MADAN MITRA,All India Trinamool Congress,ARUP CHOUDHURY (PULAK),Bharatiya Janata Party,5646.0,Result Declared,KAMARHATI,59171,64817,148272,False,True
68,KANDI,GARGI DAS GHOSH,Bharatiya Janata Party,APURBA SARKAR (DAVID),All India Trinamool Congress,10335.0,Result Declared,KANDI,73355,63020,199460,True,False
216,KANTHI DAKSHIN,ARUP KUMAR DAS,Bharatiya Janata Party,TARUN KUMAR JANA,All India Trinamool Congress,31472.0,Result Declared,KANTHI DAKSHIN,118219,86747,212835,True,False
